#Created by HistoryFileGenerator at Fri May 19 18:36:58 MSK 2017
#Parameters: O=../PLok/hs/h1.csv, N=1019, Q=20000, R=20, W=5
@1019
!HOT_RANGES/RECENT_TRACKING/1-20, 70-90/5
76560,712,916,76555,76560
76580,712,916,76576,76580
76600,10,203,76596,76600
76620,712,916,76615,76620
76640,10,203,76635,76640
76660,10,203,76656,76660
76680,10,203,76675,76680
76700,712,916,76695,76700
76720,712,916,76716,76720
76740,10,203,76736,76740
76760,712,916,76756,76760
76780,10,203,76776,76780
76800,10,203,76795,76800
76820,798,955,76815,76820
76840,10,203,76835,76840
76860,712,916,76855,76860
76880,10,203,76876,76880
76900,454,953,76896,76900
76920,10,203,76915,76920
76940,10,203,76936,76940
76960,712,916,76956,76960
76980,662,883,76975,76980
77000,10,203,76995,77000
77020,405,853,77016,77020
77040,712,916,77035,77040
77060,712,916,77055,77060
77080,10,203,77076,77080
77100,10,203,77095,77100
77120,10,203,77115,77120
77140,10,203,77136,77140
77160,10,203,77155,77160
77180,712,916,77175,77180
77200,10,203,77196,77200
77220,10,203,77216,77220
77240,818,992,77235,77240
77260,10,203,77256,77260
77280,10,203,77276,77280
77300,10,203,77296,77300
77320,10,203,77315,77320
77340,712,916,77335,77340
77360,10,203,77355,77360
77380,712,916,77375,77380
77400,712,916,77396,77400
77420,712,916,77415,77420
77440,10,203,77435,77440
77460,614,867,77455,77460
77480,10,203,77476,77480
77500,712,916,77496,77500
77520,712,916,77515,77520
77540,10,203,77536,77540
77560,10,203,77556,77560
77580,712,916,77576,77580
77600,712,916,77595,77600
77620,10,203,77615,77620
77640,10,203,77635,77640
77660,10,203,77655,77660
77680,712,916,77676,77680
77700,10,203,77696,77700
77720,125,486,77716,77720
77740,712,916,77736,77740
77760,10,203,77756,77760
77780,712,916,77776,77780
77800,10,203,77796,77800
77820,712,916,77816,77820
77840,10,203,77836,77840
77860,10,203,77856,77860
77880,10,203,77875,77880
77900,10,203,77896,77900
77920,712,916,77916,77920
77940,10,203,77935,77940
77960,10,203,77955,77960
77980,430,843,77976,77980
78000,10,203,77996,78000
78020,712,916,78016,78020
78040,712,916,78035,78040
78060,712,916,78056,78060
78080,804,973,78076,78080
78100,697,954,78095,78100
78120,10,203,78115,78120
78140,712,916,78135,78140
78160,10,203,78155,78160
78180,712,916,78175,78180
78200,712,916,78195,78200
78220,712,916,78215,78220
78240,10,203,78236,78240
78260,10,203,78255,78260
78280,712,916,78275,78280
78300,712,916,78295,78300
78320,10,203,78315,78320
78340,10,203,78336,78340
78360,428,795,78355,78360
78380,712,916,78376,78380
78400,10,203,78395,78400
78420,10,203,78415,78420
78440,712,916,78436,78440
78460,712,916,78456,78460
78480,935,974,78475,78480
78500,10,203,78495,78500
78520,712,916,78515,78520
78540,10,203,78535,78540
78560,314,486,78555,78560
78580,10,203,78575,78580
78600,10,203,78595,78600
78620,10,203,78616,78620
78640,10,203,78636,78640
78660,712,916,78656,78660
78680,712,916,78676,78680
78700,10,203,78696,78700
78720,10,203,78715,78720
78740,475,877,78736,78740
78760,231,970,78756,78760
78780,10,203,78776,78780
78800,712,916,78795,78800
78820,712,916,78816,78820
78840,10,203,78836,78840
78860,276,465,78856,78860
78880,349,403,78875,78880
78900,10,203,78895,78900
78920,473,870,78916,78920
78940,10,203,78935,78940
78960,10,203,78956,78960
78980,712,916,78975,78980
79000,825,831,78996,79000
79020,712,916,79015,79020
79040,10,203,79036,79040
79060,712,916,79056,79060
79080,10,203,79075,79080
79100,712,916,79095,79100
79120,10,203,79116,79120
79140,10,203,79136,79140
79160,712,916,79155,79160
79180,10,203,79176,79180
79200,712,916,79196,79200
79220,712,916,79215,79220
79240,712,916,79235,79240
79260,712,916,79256,79260
79280,10,203,79275,79280
79300,429,488,79296,79300
79320,712,916,79316,79320
79340,712,916,79336,79340
79360,10,203,79356,79360
79380,10,203,79376,79380
79400,10,203,79396,79400
79420,712,916,79416,79420
79440,10,203,79436,79440
79460,712,916,79456,79460
79480,712,916,79475,79480
79500,712,916,79495,79500
79520,712,916,79515,79520
79540,952,980,79535,79540
79560,10,203,79556,79560
79580,712,916,79575,79580
79600,10,203,79596,79600
79620,10,203,79616,79620
79640,712,916,79635,79640
79660,712,916,79655,79660
79680,712,916,79676,79680
79700,712,916,79695,79700
79720,10,203,79716,79720
79740,10,203,79736,79740
79760,10,203,79755,79760
79780,331,353,79775,79780
79800,10,203,79795,79800
79820,885,945,79816,79820
79840,10,203,79836,79840
79860,10,203,79855,79860
79880,712,916,79875,79880
79900,10,203,79896,79900
79920,10,203,79916,79920
79940,10,203,79935,79940
79960,712,916,79955,79960
79980,10,203,79976,79980
80000,10,203,79995,80000
80020,712,916,80016,80020
80040,610,926,80035,80040
80060,471,915,80056,80060
80080,10,203,80076,80080
80100,712,916,80096,80100
80120,170,340,80116,80120
80140,712,916,80136,80140
80160,10,203,80156,80160
80180,778,914,80176,80180
80200,407,757,80195,80200
80220,10,203,80216,80220
80240,712,916,80236,80240
80260,712,916,80255,80260
80280,712,916,80275,80280
80300,758,1003,80296,80300
80320,10,203,80316,80320
80340,10,203,80335,80340
80360,712,916,80355,80360
80380,712,916,80375,80380
80400,712,916,80396,80400
80420,10,203,80415,80420
80440,712,916,80435,80440
80460,197,300,80455,80460
80480,712,916,80475,80480
80500,10,203,80496,80500
80520,163,932,80515,80520
80540,712,916,80536,80540
80560,712,916,80556,80560
80580,712,916,80575,80580
80600,712,916,80595,80600
80620,10,203,80616,80620
80640,900,991,80636,80640
80660,712,916,80656,80660
80680,712,916,80676,80680
80700,10,203,80695,80700
80720,725,782,80716,80720
80740,10,203,80736,80740
80760,712,916,80756,80760
80780,712,916,80775,80780
80800,712,916,80796,80800
80820,10,203,80816,80820
80840,712,916,80835,80840
80860,10,203,80855,80860
80880,10,203,80875,80880
80900,10,203,80896,80900
80920,10,203,80916,80920
80940,659,925,80935,80940
80960,712,916,80955,80960
80980,712,916,80975,80980
81000,712,916,80995,81000
81020,10,203,81016,81020
81040,712,916,81035,81040
81060,462,943,81056,81060
81080,10,203,81075,81080
81100,134,936,81095,81100
81120,10,203,81116,81120
81140,722,760,81136,81140
81160,712,916,81156,81160
81180,253,713,81176,81180
81200,10,203,81196,81200
81220,10,203,81215,81220
81240,1008,1014,81235,81240
81260,712,916,81255,81260
81280,712,916,81276,81280
81300,10,203,81295,81300
81320,371,494,81316,81320
81340,712,916,81336,81340
81360,712,916,81355,81360
81380,712,916,81376,81380
81400,10,203,81395,81400
81420,10,203,81415,81420
81440,712,916,81435,81440
81460,10,203,81455,81460
81480,10,203,81476,81480
81500,712,916,81495,81500
81520,292,511,81516,81520
81540,712,916,81536,81540
81560,10,203,81555,81560
81580,712,916,81575,81580
81600,10,203,81596,81600
81620,10,203,81616,81620
81640,712,916,81635,81640
81660,10,203,81656,81660
81680,712,916,81675,81680
81700,584,723,81695,81700
81720,10,203,81715,81720
81740,10,203,81736,81740
81760,10,203,81756,81760
81780,712,916,81775,81780
81800,797,896,81796,81800
81820,10,203,81816,81820
81840,10,203,81836,81840
81860,712,916,81855,81860
81880,10,203,81875,81880
81900,10,203,81895,81900
81920,10,203,81916,81920
81940,712,916,81936,81940
81960,128,616,81955,81960
81980,712,916,81976,81980
82000,712,916,81995,82000
82020,10,203,82016,82020
82040,712,916,82035,82040
82060,712,916,82055,82060
82080,10,203,82075,82080
82100,10,203,82096,82100
82120,712,916,82115,82120
82140,10,203,82136,82140
82160,600,799,82155,82160
82180,2,926,82176,82180
82200,712,916,82196,82200
82220,712,916,82216,82220
82240,315,531,82236,82240
82260,712,916,82255,82260
82280,712,916,82275,82280
82300,712,916,82295,82300
82320,712,916,82315,82320
82340,10,203,82335,82340
82360,10,203,82355,82360
82380,10,203,82376,82380
82400,10,203,82395,82400
82420,712,916,82416,82420
82440,739,963,82436,82440
82460,712,916,82456,82460
82480,10,203,82476,82480
82500,1016,1017,82495,82500
82520,712,916,82516,82520
82540,450,852,82535,82540
82560,180,520,82556,82560
82580,712,916,82575,82580
82600,712,916,82595,82600
82620,10,203,82615,82620
82640,10,203,82636,82640
82660,10,203,82656,82660
82680,712,916,82676,82680
82700,10,203,82695,82700
82720,10,203,82715,82720
82740,712,916,82735,82740
82760,10,203,82756,82760
82780,10,203,82775,82780
82800,712,916,82795,82800
82820,10,203,82815,82820
82840,10,203,82836,82840
82860,712,916,82856,82860
82880,450,692,82875,82880
82900,362,815,82895,82900
82920,712,916,82915,82920
82940,712,916,82936,82940
82960,712,916,82956,82960
82980,712,916,82976,82980
83000,10,203,82995,83000
83020,712,916,83016,83020
83040,712,916,83036,83040
83060,10,203,83055,83060
83080,10,203,83075,83080
83100,712,916,83095,83100
83120,10,203,83115,83120
83140,10,203,83135,83140
83160,10,203,83155,83160
83180,10,203,83176,83180
83200,10,203,83195,83200
83220,10,203,83215,83220
83240,10,203,83235,83240
83260,948,985,83255,83260
83280,10,203,83275,83280
83300,712,916,83296,83300
83320,10,203,83315,83320
83340,61,289,83336,83340
83360,712,916,83356,83360
83380,712,916,83376,83380
83400,10,203,83396,83400
83420,10,203,83416,83420
83440,10,203,83435,83440
83460,10,203,83455,83460
83480,10,203,83476,83480
83500,10,203,83496,83500
83520,712,916,83515,83520
83540,712,916,83535,83540
83560,10,203,83555,83560
83580,10,203,83575,83580
83600,10,203,83596,83600
83620,10,203,83616,83620
83640,381,717,83635,83640
83660,712,916,83656,83660
83680,10,203,83676,83680
83700,817,875,83696,83700
83720,969,972,83716,83720
83740,10,203,83736,83740
83760,10,203,83755,83760
83780,10,203,83775,83780
83800,10,203,83795,83800
83820,712,916,83815,83820
83840,712,916,83835,83840
83860,712,916,83856,83860
83880,712,916,83875,83880
83900,712,916,83896,83900
83920,712,916,83916,83920
83940,712,916,83935,83940
83960,712,916,83956,83960
83980,10,203,83976,83980
84000,10,203,83996,84000
84020,712,916,84015,84020
84040,712,916,84036,84040
84060,712,916,84056,84060
84080,712,916,84075,84080
84100,10,203,84096,84100
84120,712,916,84116,84120
84140,10,203,84135,84140
84160,10,203,84156,84160
84180,10,203,84176,84180
84200,712,916,84195,84200
84220,10,203,84216,84220
84240,712,916,84236,84240
84260,10,203,84255,84260
84280,712,916,84275,84280
84300,409,867,84295,84300
84320,712,916,84315,84320
84340,712,916,84336,84340
84360,550,555,84355,84360
84380,712,916,84376,84380
84400,712,916,84396,84400
84420,712,916,84415,84420
84440,712,916,84436,84440
84460,314,609,84456,84460
84480,10,203,84475,84480
84500,712,916,84496,84500
84520,712,916,84515,84520
84540,712,916,84536,84540
84560,10,203,84556,84560
84580,712,916,84576,84580
84600,10,203,84595,84600
84620,712,916,84615,84620
84640,10,203,84636,84640
84660,712,916,84655,84660
84680,712,916,84675,84680
84700,431,589,84695,84700
84720,712,916,84715,84720
84740,10,203,84736,84740
84760,712,916,84756,84760
84780,999,1016,84776,84780
84800,528,690,84795,84800
84820,712,916,84815,84820
84840,712,916,84836,84840
84860,10,203,84855,84860
84880,10,203,84876,84880
84900,10,203,84895,84900
84920,712,916,84916,84920
84940,10,203,84935,84940
84960,10,203,84955,84960
84980,712,916,84975,84980
85000,10,203,84995,85000
85020,712,916,85015,85020
85040,562,805,85036,85040
85060,10,203,85055,85060
85080,10,203,85076,85080
85100,10,203,85096,85100
85120,712,916,85116,85120
85140,712,916,85136,85140
85160,10,203,85155,85160
85180,712,916,85176,85180
85200,10,203,85196,85200
85220,712,916,85216,85220
85240,10,203,85236,85240
85260,712,916,85255,85260
85280,712,916,85275,85280
85300,10,203,85295,85300
85320,712,916,85315,85320
85340,10,203,85335,85340
85360,10,203,85355,85360
85380,712,916,85376,85380
85400,712,916,85395,85400
85420,10,203,85416,85420
85440,712,916,85435,85440
85460,10,203,85455,85460
85480,712,916,85475,85480
85500,10,203,85496,85500
85520,712,916,85516,85520
85540,10,203,85535,85540
85560,712,916,85556,85560
85580,712,916,85575,85580
85600,712,916,85596,85600
85620,712,916,85616,85620
85640,167,997,85635,85640
85660,10,203,85655,85660
85680,10,203,85675,85680
85700,10,203,85696,85700
85720,10,203,85715,85720
85740,10,203,85736,85740
85760,282,749,85755,85760
85780,10,203,85775,85780
85800,712,916,85795,85800
85820,10,203,85815,85820
85840,10,203,85835,85840
85860,712,916,85856,85860
85880,10,203,85876,85880
85900,712,916,85895,85900
85920,10,203,85916,85920
85940,10,203,85936,85940
85960,712,916,85955,85960
85980,772,956,85975,85980
86000,712,916,85996,86000
86020,10,203,86015,86020
86040,712,916,86035,86040
86060,10,203,86056,86060
86080,716,751,86075,86080
86100,10,203,86095,86100
86120,712,916,86116,86120
86140,712,916,86135,86140
86160,10,203,86155,86160
86180,10,203,86176,86180
86200,712,916,86195,86200
86220,712,916,86215,86220
86240,712,916,86235,86240
86260,712,916,86255,86260
86280,712,916,86275,86280
86300,712,916,86295,86300
86320,712,916,86315,86320
86340,10,203,86336,86340
86360,10,203,86355,86360
86380,10,203,86375,86380
86400,10,203,86395,86400
86420,712,916,86415,86420
86440,10,203,86436,86440
86460,10,203,86455,86460
86480,712,916,86475,86480
86500,712,916,86495,86500
86520,712,916,86515,86520
86540,712,916,86535,86540
86560,712,916,86556,86560
86580,712,916,86575,86580
86600,712,916,86595,86600
86620,10,203,86616,86620
86640,527,920,86636,86640
86660,10,203,86656,86660
86680,10,203,86676,86680
86700,712,916,86696,86700
86720,10,203,86715,86720
86740,10,203,86736,86740
86760,10,203,86755,86760
86780,10,203,86775,86780
86800,10,203,86796,86800
86820,10,203,86815,86820
86840,432,693,86836,86840
86860,712,916,86856,86860
86880,712,916,86875,86880
86900,712,916,86895,86900
86920,712,916,86916,86920
86940,10,203,86936,86940
86960,712,916,86955,86960
86980,10,203,86975,86980
87000,10,203,86995,87000
87020,712,916,87016,87020
87040,10,203,87035,87040
87060,612,697,87055,87060
87080,10,203,87076,87080
87100,10,203,87095,87100
87120,712,916,87116,87120
87140,10,203,87136,87140
87160,712,916,87155,87160
87180,10,203,87175,87180
87200,271,1009,87195,87200
87220,10,203,87215,87220
87240,80,237,87236,87240
87260,712,916,87255,87260
87280,956,981,87275,87280
87300,712,916,87296,87300
87320,10,203,87316,87320
87340,712,916,87336,87340
87360,10,203,87355,87360
87380,10,203,87376,87380
87400,712,916,87395,87400
87420,10,203,87415,87420
87440,10,203,87435,87440
87460,712,916,87455,87460
87480,712,916,87476,87480
87500,712,916,87495,87500
87520,10,203,87515,87520
87540,712,916,87536,87540
87560,10,203,87556,87560
87580,712,916,87575,87580
87600,983,1017,87595,87600
87620,10,203,87616,87620
87640,10,203,87636,87640
87660,542,910,87655,87660
87680,588,700,87675,87680
87700,339,495,87696,87700
87720,712,916,87716,87720
87740,712,916,87736,87740
87760,10,203,87756,87760
87780,10,203,87776,87780
87800,712,916,87795,87800
87820,712,916,87815,87820
87840,10,203,87835,87840
87860,712,916,87856,87860
87880,10,203,87876,87880
87900,712,916,87895,87900
87920,712,916,87916,87920
87940,10,203,87936,87940
87960,10,203,87956,87960
87980,144,342,87976,87980
88000,10,203,87995,88000
88020,712,916,88016,88020
88040,712,916,88036,88040
88060,10,203,88055,88060
88080,712,916,88076,88080
88100,712,916,88096,88100
88120,10,203,88115,88120
88140,155,864,88135,88140
88160,712,916,88155,88160
88180,712,916,88176,88180
88200,712,916,88195,88200
88220,712,916,88215,88220
88240,712,916,88235,88240
88260,712,916,88256,88260
88280,712,916,88276,88280
88300,712,916,88296,88300
88320,876,888,88316,88320
88340,10,203,88335,88340
88360,10,203,88356,88360
88380,260,346,88376,88380
88400,10,203,88395,88400
88420,712,916,88415,88420
88440,10,203,88436,88440
88460,10,203,88456,88460
88480,10,203,88476,88480
88500,712,916,88496,88500
88520,712,916,88515,88520
88540,712,916,88535,88540
88560,712,916,88555,88560
88580,10,203,88575,88580
88600,37,69,88595,88600
88620,712,916,88615,88620
88640,712,916,88635,88640
88660,712,916,88656,88660
88680,10,203,88676,88680
88700,712,916,88696,88700
88720,227,403,88716,88720
88740,712,916,88735,88740
88760,10,203,88755,88760
88780,10,203,88776,88780
88800,47,560,88795,88800
88820,712,916,88816,88820
88840,771,900,88836,88840
88860,712,916,88856,88860
88880,712,916,88876,88880
88900,10,203,88896,88900
88920,712,916,88916,88920
88940,712,916,88936,88940
88960,693,908,88956,88960
88980,10,203,88976,88980
89000,10,203,88996,89000
89020,712,916,89016,89020
89040,112,992,89036,89040
89060,712,916,89055,89060
89080,10,203,89076,89080
89100,712,916,89095,89100
89120,249,432,89115,89120
89140,10,203,89136,89140
89160,543,700,89155,89160
89180,712,916,89175,89180
89200,10,203,89195,89200
89220,10,203,89215,89220
89240,10,203,89236,89240
89260,712,916,89256,89260
89280,712,916,89276,89280
89300,10,203,89295,89300
89320,712,916,89315,89320
89340,10,203,89336,89340
89360,942,945,89355,89360
89380,10,203,89375,89380
89400,712,916,89395,89400
89420,712,916,89416,89420
89440,10,203,89436,89440
89460,10,203,89455,89460
89480,712,916,89475,89480
89500,10,203,89496,89500
89520,10,203,89516,89520
89540,712,916,89535,89540
89560,964,1017,89555,89560
89580,10,203,89575,89580
89600,10,203,89596,89600
89620,712,916,89616,89620
89640,712,916,89636,89640
89660,10,203,89656,89660
89680,712,916,89676,89680
89700,110,902,89696,89700
89720,712,916,89716,89720
89740,10,203,89736,89740
89760,712,916,89756,89760
89780,712,916,89776,89780
89800,712,916,89796,89800
89820,10,203,89816,89820
89840,712,916,89836,89840
89860,712,916,89856,89860
89880,712,916,89876,89880
89900,10,203,89896,89900
89920,776,827,89916,89920
89940,712,916,89935,89940
89960,712,916,89955,89960
89980,10,203,89976,89980
90000,712,916,89996,90000
90020,710,874,90016,90020
90040,10,203,90035,90040
90060,10,203,90055,90060
90080,712,916,90075,90080
90100,712,916,90095,90100
90120,159,341,90115,90120
90140,10,203,90136,90140
90160,712,916,90155,90160
90180,10,203,90175,90180
90200,10,203,90195,90200
90220,10,203,90216,90220
90240,10,203,90235,90240
90260,712,916,90255,90260
90280,10,203,90275,90280
90300,10,203,90295,90300
90320,712,916,90315,90320
90340,712,916,90335,90340
90360,556,935,90355,90360
90380,712,916,90375,90380
90400,712,916,90396,90400
90420,10,203,90415,90420
90440,10,203,90436,90440
90460,712,916,90455,90460
90480,712,916,90476,90480
90500,712,916,90495,90500
90520,712,916,90516,90520
90540,712,916,90535,90540
90560,712,916,90555,90560
90580,761,1010,90575,90580
90600,220,306,90595,90600
90620,10,203,90615,90620
90640,712,916,90636,90640
90660,10,203,90655,90660
90680,712,916,90675,90680
90700,712,916,90695,90700
90720,712,916,90715,90720
90740,10,203,90736,90740
90760,712,916,90755,90760
90780,10,203,90775,90780
90800,712,916,90796,90800
90820,10,203,90816,90820
90840,712,916,90836,90840
90860,712,916,90855,90860
90880,712,916,90875,90880
90900,10,203,90895,90900
90920,712,916,90916,90920
90940,712,916,90936,90940
90960,909,916,90956,90960
90980,10,203,90976,90980
91000,712,916,90996,91000
91020,712,916,91015,91020
91040,10,203,91036,91040
91060,106,147,91055,91060
91080,712,916,91075,91080
91100,712,916,91095,91100
91120,10,203,91115,91120
91140,712,916,91136,91140
91160,10,203,91155,91160
91180,712,916,91175,91180
91200,10,203,91195,91200
91220,712,916,91216,91220
91240,10,203,91235,91240
91260,10,203,91255,91260
91280,10,203,91276,91280
91300,712,916,91295,91300
91320,10,203,91316,91320
91340,712,916,91336,91340
91360,10,203,91355,91360
91380,10,203,91376,91380
91400,712,916,91395,91400
91420,10,203,91415,91420
91440,712,916,91436,91440
91460,10,203,91455,91460
91480,10,203,91476,91480
91500,788,985,91496,91500
91520,292,313,91516,91520
91540,38,711,91536,91540
91560,10,203,91556,91560
91580,712,916,91575,91580
91600,712,916,91595,91600
91620,712,916,91615,91620
91640,712,916,91635,91640
91660,165,763,91655,91660
91680,10,203,91675,91680
91700,10,203,91696,91700
91720,712,916,91715,91720
91740,712,916,91735,91740
91760,10,203,91755,91760
91780,712,916,91775,91780
91800,10,203,91796,91800
91820,712,916,91816,91820
91840,10,203,91836,91840
91860,95,314,91856,91860
91880,949,980,91876,91880
91900,10,203,91895,91900
91920,712,916,91916,91920
91940,712,916,91935,91940
91960,10,203,91956,91960
91980,712,916,91976,91980
92000,712,916,91995,92000
92020,712,916,92016,92020
92040,712,916,92036,92040
92060,683,919,92056,92060
92080,468,847,92076,92080
92100,712,916,92096,92100
92120,712,916,92115,92120
92140,712,916,92135,92140
92160,712,916,92156,92160
92180,10,203,92176,92180
92200,712,916,92196,92200
92220,10,203,92216,92220
92240,712,916,92236,92240
92260,10,203,92256,92260
92280,10,203,92275,92280
92300,10,203,92295,92300
92320,10,203,92315,92320
92340,712,916,92335,92340
92360,10,203,92356,92360
92380,10,203,92375,92380
92400,712,916,92395,92400
92420,712,916,92416,92420
92440,712,916,92435,92440
92460,10,203,92456,92460
92480,712,916,92476,92480
92500,712,916,92496,92500
92520,712,916,92516,92520
92540,712,916,92535,92540
92560,10,203,92556,92560
92580,677,1001,92575,92580
92600,712,916,92595,92600
92620,712,916,92616,92620
92640,712,916,92636,92640
92660,10,203,92655,92660
92680,712,916,92676,92680
92700,10,203,92696,92700
92720,416,890,92715,92720
92740,10,203,92735,92740
92760,37,82,92756,92760
92780,712,916,92776,92780
92800,1001,1003,92795,92800
92820,37,865,92816,92820
92840,400,931,92836,92840
92860,712,916,92855,92860
92880,712,916,92875,92880
92900,712,916,92895,92900
92920,425,451,92916,92920
92940,10,203,92936,92940
92960,10,203,92956,92960
92980,10,203,92976,92980
93000,10,203,92996,93000
93020,10,203,93015,93020
93040,10,203,93035,93040
93060,712,916,93055,93060
93080,712,916,93075,93080
93100,712,916,93096,93100
93120,10,203,93116,93120
93140,712,916,93135,93140
93160,10,203,93155,93160
93180,10,203,93175,93180
93200,712,916,93196,93200
93220,10,203,93216,93220
93240,712,916,93236,93240
93260,712,916,93256,93260
93280,10,203,93275,93280
93300,712,916,93295,93300
93320,10,203,93316,93320
93340,186,533,93335,93340
93360,10,203,93356,93360
93380,712,916,93375,93380
93400,550,1001,93396,93400
93420,712,916,93415,93420
93440,10,203,93435,93440
93460,712,916,93456,93460
93480,10,203,93475,93480
93500,712,916,93496,93500
93520,941,997,93515,93520
93540,10,203,93535,93540
93560,128,468,93555,93560
93580,10,203,93575,93580
93600,712,916,93596,93600
93620,10,203,93615,93620
93640,712,916,93635,93640
93660,709,765,93655,93660
93680,10,203,93676,93680
93700,329,541,93696,93700
93720,218,256,93716,93720
93740,712,916,93736,93740
93760,451,635,93756,93760
93780,10,203,93776,93780
93800,712,916,93795,93800
93820,712,916,93815,93820
93840,712,916,93836,93840
93860,10,203,93856,93860
93880,10,203,93875,93880
93900,10,203,93895,93900
93920,712,916,93915,93920
93940,59,487,93936,93940
93960,795,921,93956,93960
93980,712,916,93975,93980
94000,10,203,93995,94000
94020,712,916,94016,94020
94040,712,916,94035,94040
94060,712,916,94055,94060
94080,161,975,94076,94080
94100,712,916,94096,94100
94120,10,203,94116,94120
94140,10,203,94136,94140
94160,511,572,94155,94160
94180,712,916,94176,94180
94200,10,203,94195,94200
94220,10,203,94215,94220
94240,10,203,94235,94240
94260,612,676,94255,94260
94280,10,203,94276,94280
94300,712,916,94295,94300
94320,712,916,94315,94320
94340,10,203,94336,94340
94360,860,926,94355,94360
94380,10,203,94376,94380
94400,712,916,94395,94400
94420,712,916,94415,94420
94440,712,916,94436,94440
94460,10,203,94455,94460
94480,10,203,94476,94480
94500,712,916,94495,94500
94520,712,916,94516,94520
94540,712,916,94536,94540
94560,10,203,94555,94560
94580,10,203,94576,94580
94600,10,203,94595,94600
94620,10,203,94615,94620
94640,10,203,94636,94640
94660,712,916,94656,94660
94680,10,203,94675,94680
94700,712,916,94696,94700
94720,712,916,94716,94720
94740,10,203,94735,94740
94760,10,203,94755,94760
94780,10,203,94775,94780
94800,60,511,94796,94800
94820,10,203,94816,94820
94840,10,203,94836,94840
94860,10,203,94856,94860
94880,712,916,94875,94880
94900,10,203,94896,94900
94920,526,1007,94916,94920
94940,10,203,94936,94940
94960,712,916,94956,94960
94980,712,916,94975,94980
95000,712,916,94995,95000
95020,712,916,95016,95020
95040,10,203,95036,95040
95060,10,203,95055,95060
95080,96,679,95076,95080
95100,10,203,95096,95100
95120,10,203,95116,95120
95140,10,203,95136,95140
95160,330,840,95155,95160
95180,712,916,95176,95180
95200,712,916,95196,95200
95220,10,203,95216,95220
95240,10,203,95236,95240
95260,10,203,95255,95260
95280,901,915,95275,95280
95300,10,203,95295,95300
95320,712,916,95316,95320
95340,712,916,95335,95340
95360,712,916,95355,95360
95380,10,203,95376,95380
95400,10,203,95396,95400
95420,590,829,95416,95420
95440,712,916,95435,95440
95460,10,203,95456,95460
95480,712,916,95475,95480
95500,712,916,95495,95500
95520,712,916,95515,95520
95540,712,916,95536,95540
95560,712,916,95556,95560
95580,502,833,95576,95580
95600,712,916,95595,95600
95620,10,203,95616,95620
95640,10,203,95635,95640
95660,10,203,95655,95660
95680,712,916,95676,95680
95700,712,916,95696,95700
95720,712,916,95715,95720
95740,712,916,95735,95740
95760,712,916,95755,95760
95780,10,203,95775,95780
95800,712,916,95795,95800
95820,10,203,95815,95820
95840,712,916,95835,95840
95860,712,916,95855,95860
95880,712,916,95875,95880
95900,697,991,95895,95900
95920,10,203,95916,95920
95940,10,203,95935,95940
95960,712,916,95955,95960
95980,712,916,95975,95980
96000,10,203,95996,96000
96020,973,994,96016,96020
96040,712,916,96036,96040
96060,10,203,96055,96060
96080,233,623,96075,96080
96100,712,916,96096,96100
96120,418,635,96116,96120
96140,712,916,96135,96140
96160,10,203,96156,96160
96180,351,377,96176,96180
96200,712,916,96196,96200
96220,793,843,96216,96220
96240,646,687,96235,96240
96260,712,916,96256,96260
96280,10,203,96275,96280
96300,712,916,96295,96300
96320,10,203,96315,96320
96340,712,916,96335,96340
96360,10,203,96356,96360
96380,712,916,96375,96380
96400,743,992,96395,96400
96420,10,203,96415,96420
96440,10,203,96435,96440
96460,10,203,96455,96460
96480,10,203,96476,96480
96500,10,203,96496,96500
96520,10,203,96515,96520
96540,712,916,96536,96540
96560,10,203,96556,96560
96580,10,203,96575,96580
96600,712,916,96595,96600
96620,712,916,96616,96620
96640,712,916,96636,96640
96660,712,916,96655,96660
96680,19,703,96676,96680
96700,10,203,96695,96700
96720,10,203,96716,96720
96740,10,203,96736,96740
96760,10,203,96755,96760
96780,712,916,96775,96780
96800,5,358,96796,96800
96820,712,916,96815,96820
96840,998,1014,96835,96840
96860,121,440,96856,96860
96880,712,916,96876,96880
96900,712,916,96895,96900
96920,712,916,96916,96920
96940,332,711,96936,96940
96960,712,916,96956,96960
96980,712,916,96975,96980
97000,321,600,96996,97000
97020,712,916,97015,97020
97040,10,203,97035,97040
97060,169,200,97056,97060
97080,10,203,97076,97080
97100,10,203,97096,97100
97120,10,203,97116,97120
97140,10,203,97135,97140
97160,712,916,97155,97160
97180,712,916,97175,97180
97200,712,916,97196,97200
97220,10,203,97216,97220
97240,712,916,97236,97240
97260,712,916,97256,97260
97280,712,916,97276,97280
97300,944,969,97296,97300
97320,657,684,97316,97320
97340,996,1009,97335,97340
97360,10,203,97356,97360
97380,712,916,97375,97380
97400,712,916,97395,97400
97420,712,916,97416,97420
97440,712,916,97435,97440
97460,27,828,97455,97460
97480,712,916,97476,97480
97500,10,203,97495,97500
97520,10,203,97516,97520
97540,10,203,97536,97540
97560,712,916,97556,97560
97580,10,203,97576,97580
97600,712,916,97596,97600
97620,10,203,97615,97620
97640,215,351,97635,97640
97660,712,916,97655,97660
97680,129,610,97675,97680
97700,10,203,97696,97700
97720,712,916,97715,97720
97740,607,843,97735,97740
97760,980,1008,97755,97760
97780,290,879,97776,97780
97800,10,203,97795,97800
97820,559,920,97815,97820
97840,10,203,97836,97840
97860,712,916,97856,97860
